ID missa,ParÃ³quia,Arquidiocese,Decanato,Cidade,Dia,HorÃ¡rio,ObservaÃ§Ã£o
1,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,Segunda,07h00,
2,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,Segunda,12h00,
3,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,TerÃ§a,07h00,
4,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,TerÃ§a,12h00,
5,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,Quarta,07h00,
6,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,Quarta,12h00,
7,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,Quinta,07h00,
8,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,Quinta,12h00,
9,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,Sexta,05h00,
10,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,Sexta,12h00,
11,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,Sexta,15h00,
12,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,SÃ¡bado,07h00,
13,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,SÃ¡bado,18h00,
14,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,Domingo,08h00,
15,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,Domingo,10h30,
16,CATEDRAL - PARÃ“QUIA SAGRADO CORAÃ‡ÃƒO DE JESUS,Londrina,Centro,Londrina,Domingo,18h00,
17,PARÃ“QUIA CORAÃ‡ÃƒO DE MARIA,Londrina,Centro,Londrina,Segunda,07h00,
18,PARÃ“QUIA CORAÃ‡ÃƒO DE MARIA,Londrina,Centro,Londrina,Segunda,19h00,
19,PARÃ“QUIA CORAÃ‡ÃƒO DE MARIA,Londrina,Centro,Londrina,TerÃ§a,07h00,
20,PARÃ“QUIA CORAÃ‡ÃƒO DE MARIA,Londrina,Centro,Londrina,TerÃ§a,19h00,
21,PARÃ“QUIA CORAÃ‡ÃƒO DE MARIA,Londrina,Centro,Londrina,Quarta,07h00,
