ID paróquia,Paróquia,Arquidiocese,Decanato,Cidade,Telefone,Email,Endereço,Site,Facebook,Instagram
1,CATEDRAL - PARÓQUIA SAGRADO CORAÇÃO DE JESUS,Londrina,Centro,Londrina,(43) 3324-5255,secretariacat@sercomtel.com.br,Travessa Pe. Eugênio Herter - 33,www.catedrallondrina.com.br,www.facebook.com/catedrallondrinaPR,www.instagram.com/catedrallondrina
2,PARÓQUIA CORAÇÃO DE MARIA,Londrina,Centro,Londrina,(43) 3324-1684,coracaodemaria@sercomtel.com.br,Av. Higienópolis - 1073,http://cordemaria.com.br/,https://www.facebook.com/cordemaria/,https://www.instagram.com/parcordemaria/
3,PARÓQUIA DOS SAGRADOS CORAÇÕES,Londrina,Centro,Londrina,(43) 3329-7064,sagradoscoracoesparoquia@gmail.com,Rua Mato Grosso - 1167,,https://www.facebook.com/sagradoscoracoeslondrina/,https://www.instagram.com/paroquiasagrados/
4,PARÓQUIA IMACULADA CONCEIÇÃO,Londrina,Centro,Londrina,(43) 3323-9710,contato@imaculadalondrina.com.br,Rua Tupi - 241,http://imaculadalondrina.com.br/,https://www.facebook.com/imaculadalondrina,https://www.instagram.com/imaculadalondrina/
5,PARÓQUIA NOSSA SENHORA AUXILIADORA,Londrina,Centro,Londrina,(43) 3327-3529,secretaria1@auxiliadoraonline.com.br,Rua Dom Bosco - 55,http://auxiliadoraonline.com.br/,https://www.facebook.com/auxiliadoraonline/,https://www.instagram.com/auxiliadoraonline/
6,PARÓQUIA NOSSA SENHORA DAS GRAÇAS,Londrina,Centro,Londrina,(43) 3342-1276,pnsgra@gmail.com,Rua Luiz Dias - 393,,https://www.facebook.com/vivernagraca/,https://www.instagram.com/pnsgracalondrina/
7,PARÓQUIA NOSSA SENHORA RAINHA DO UNIVERSO,Londrina,Centro,Londrina,(43) 3327-0427,rainhadouniverso@uol.com.br,Rua Ibirá - 99,http://www.rainhadouniverso.com.br/,https://www.facebook.com/rainhadouniversolondrina/,https://www.instagram.com/rainhadouniversolondrina/
8,PARÓQUIA NOSSA SENHORA RAINHA DOS APÓSTOLOS,Londrina,Centro,Londrina,(43) 3327-2518,nsraapos@sercomtel.com.br,Av. Tiradentes - 43,http://rainhadosapostolos.com.br/,https://www.facebook.com/nsrapos/,https://www.instagram.com/paroquiarainhadosapostolos/
9,PARÓQUIA SANT'ANA,Londrina,Centro,Londrina,(43) 3326-2749,paroquiasantaana@gmail.com,Rua Ruy Ferraz de Carvalho - 280,,https://www.facebook.com/ParoquiaSantanaLondrina,https://www.instagram.com/paroquiasantanalondrina/
10,PARÓQUIA SÃO VICENTE DE PAULO,Londrina,Centro,Londrina,(43) 3339-0252,secretaria@paroquiasvp.com.br,Av. Madre Leônia Milito - 545,,https://www.facebook.com/saovicentelondrina/,https://www.instagram.com/saovicentelondrina/
11,PARÓQUIA NOSSA SENHORA DA PAZ,Londrina,Leste,Londrina,(43) 3322-4361,nspaz20@gmail.com,Av. Duque de Caxias - 4321,,https://www.facebook.com/nossasenhoradapazlondrina,https://www.instagram.com/nossasenhoradapaz_/
12,PARÓQUIA NOSSA SENHORA DE FÁTIMA,Londrina,Leste,Londrina,(43) 3325-1842,nsfatima@sercomtel.com.br,Av. Dez de Dezembro - 647,,https://www.facebook.com/nossasenhoradefatima.londrina/,https://www.instagram.com/nsradefatimapr/
13,PARÓQUIA NOSSA SENHORA DE LOURDES,Londrina,Leste,Londrina,(43) 3322-0313,pnslourdes@sercomtel.com.br,Rua Santo Estevam - 70,,https://www.facebook.com/pnslourdeslondrina,https://www.instagram.com/paroquia.nslourdes/
14,PARÓQUIA NOSSA SENHORA DO AMPARO,Londrina,Leste,Londrina,(43) 3337-4077,amparolondrina@yahoo.com.br,Rua Guimarães Rosa - 140,,,
15,PARÓQUIA NOSSA SENHORA DO PERPÉTUO SOCORRO,Londrina,Leste,Londrina,(43) 3337-1285,perpetuosocorroldna@outlook.com,Rua Santa Cecília - 297,,https://www.facebook.com/PerpetuoSocorroLondrina,
16,PARÓQUIA NOSSA SENHORA DO ROCIO,Londrina,Leste,Londrina,(43) 3337-5782,rociolondrina@sercomtel.com.br,Av. São João - 1782,,https://www.facebook.com/ROCIOLONDRINA,https://www.instagram.com/senhoradorocio/
17,PARÓQUIA NOSSA SENHORA DO ROSÁRIO,Londrina,Leste,Londrina,(43) 3329-0172,prosario@sercomtel.com.br,Rua Pres. Xavier da Silva - 65,,https://www.facebook.com/profile.php?id=100006101593037,
18,SANTUÁRIO SANTA RITA DE CÁSSIA,Londrina,Leste,Londrina,(43) 3336-3166,santaritalondrina@sercomtel.com.br,Rua Pedro Abelardo - 70,http://www.santaritalondrina.com.br/,https://www.facebook.com/santaritalondrina/,https://www.instagram.com/santaritalondrina/
19,PARÓQUIA SÃO LUIZ GONZAGA,Londrina,Leste,Londrina,(43) 3337-0664,saoluizgonzaga@sercomtel.com.br,Av. São João - 4213,,https://www.facebook.com/SaoLuizGonzagaLondrinaPR/?ref=br_rs,https://www.instagram.com/paroquiasaoluizgonzagalondrina/
20,SANTUÁRIO NOSSA SENHORA APARECIDA,Londrina,Leste,Londrina,(43) 3329-1039,santuariolda@gmail.com,Rua Grajaú - 245,http://www.santuariolondrina.com.br/,https://www.facebook.com/SantuarioLondrina/,https://www.instagram.com/santuariolondrina/
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
